file_size	file_name	download_status
1082.5	318) Polity Class 36 - 270723.mp4	NOT_UPLOADED
1065.41	317) Polity Class 35 - 220723.mp4	NOT_UPLOADED
1055.43	316) Polity Class 34 - 210723.mp4	NOT_UPLOADED
976.85	315) Polity Class 33 - 080723.mp4	NOT_UPLOADED
1101.59	314) Polity Class 32 - 040723.mp4	NOT_UPLOADED
1084.97	313) Polity Class 31 - 010723.mp4	NOT_UPLOADED
1083.28	312) Polity Class 30 - 300623.mp4	NOT_UPLOADED
1087.47	311) Polity Class 29 - 280623.mp4	NOT_UPLOADED
1092.28	310) Polity Class 28 - 070623.mp4	NOT_UPLOADED
1114.16	309) Polity Class 27 - 060623.mp4	NOT_UPLOADED
1099.81	308) Polity Class 26 - 050623.mp4	NOT_UPLOADED
1112.55	307) Polity Class 25 - 180423.mp4	NOT_UPLOADED
1056.29	306) Polity Class 24 - 130423.mp4	NOT_UPLOADED
1104.62	305) Polity Class 23 - 120423.mp4	NOT_UPLOADED
1093.17	304) Polity Class 22 - 110423.mp4	NOT_UPLOADED
1099.52	303) Polity Class 21 - 100423.mp4	NOT_UPLOADED
1092.85	302) Polity Class 20 - 080423.mp4	NOT_UPLOADED
1088.82	301) Polity Class 19 - 070423.mp4	NOT_UPLOADED
1072.12	300) Polity Class 18 - 050423.mp4	NOT_UPLOADED
1087.41	299) Polity Class 17 - 040423.mp4	NOT_UPLOADED
1051.27	298) Polity Class 16 - 030423.mp4	NOT_UPLOADED
1103.37	297) Polity Class 15 - 300323.mp4	NOT_UPLOADED
1113.4	296) Polity Class 14 - 290323.mp4	NOT_UPLOADED
1119.39	295) Polity Class 13 - 270323.mp4	NOT_UPLOADED
1143.64	294) Polity Class 12 - 250323.mp4	NOT_UPLOADED
1119.71	293) Polity Class 11 - 240323.mp4	NOT_UPLOADED
1102.45	292) Polity Class 10 - 230323.mp4	NOT_UPLOADED
1133.59	291) Polity Class 09 - 180323.mp4	NOT_UPLOADED
1144.96	290) Polity Class 08 - 150323.mp4	NOT_UPLOADED
1117.64	289) Polity Class 07 - 140323.mp4	NOT_UPLOADED
1141.56	288) Polity Class 06 - 130323.mp4	NOT_UPLOADED
1133.16	287) Polity Class 05 - 110323.mp4	NOT_UPLOADED
1138.58	286) Polity Class 04 - 100323.mp4	NOT_UPLOADED
1076.16	285) Polity Class 03 - 030323.mp4	NOT_UPLOADED
1090.53	284) Polity Class 02 - 010323.mp4	NOT_UPLOADED
1086.99	283) Polity Class 01 - 270223.mp4	NOT_UPLOADED
297.36	282) Introduction Class - 111022.mp4	NOT_UPLOADED
